home,score,away,result,home_score,away_score,goal_goal,over_1,over_2,over_3,over_4,home_odd,draw_odd,away_odd
WAT,2-1,NWC,3,2,1,1,1,1,0,0,3.55,2.99,2.31
CHE,2-3,MNC,0,2,3,1,1,1,1,1,2.58,3.20,2.86
ARS,1-1,EVE,1,1,1,1,1,0,0,0,2.06,3.22,3.95
SOU,0-1,WHU,0,0,1,0,0,0,0,0,2.44,3.21,3.04
WHU,2-0,LEI,3,2,0,0,1,0,0,0,2.44,3.21,3.04
WAT,1-1,TOT,1,1,1,1,1,0,0,0,2.89,3.34,1.83
BRI,1-0,CHE,3,1,0,0,0,0,0,0,3.93,3.24,2.05
LIV,3-0,CRY,3,3,0,0,1,1,0,0,1.66,3.64,5.82
STC,3-2,ARS,3,3,2,1,1,1,1,1,3.09,3.23,2.40
MNC,2-0,HUD,3,2,0,0,1,0,0,0,5.84,3.74,1.63
SWA,1-2,SOU,0,1,2,1,1,1,0,0,1.56,4.05,6.24
NWC,1-0,BOU,3,1,0,0,0,0,0,0,2.24,3.07,3.59
BUR,1-1,MNU,1,1,1,1,1,0,0,0,2.58,3.19,2.86
EVE,1-0,WBA,3,1,0,0,0,0,0,0,3.85,3.17,2.11
CHE,2-0,BUR,3,2,0,0,1,0,0,0,2.06,3.22,3.95
LEI,3-1,SWA,3,3,1,1,1,1,1,0,1.56,4.05,6.24
ARS,2-1,LIV,3,2,1,1,1,1,0,0,2.25,3.05,3.60
TOT,0-0,WHU,1,0,0,0,0,0,0,0,3.20,3.19,2.36
BOU,0-4,WAT,0,0,4,0,1,1,1,0,3.55,2.99,2.31
MNU,5-0,NWC,3,5,0,0,1,1,1,1,1.37,4.87,8.61
CRY,2-1,MNC,3,2,1,1,1,1,0,0,1.33,5.20,9.52
HUD,2-0,BRI,3,2,0,0,1,0,0,0,2.44,3.24,3.02
SOU,1-1,EVE,1,1,1,1,1,0,0,0,2.16,3.10,3.80
WBA,1-1,STC,1,1,1,1,1,0,0,0,1.56,4.05,6.24
WAT,4-1,MNU,3,4,1,1,1,1,1,1,3.09,3.23,2.40
LIV,1-0,WBA,3,1,0,0,0,0,0,0,4.39,3.33,1.92
MNC,3-2,ARS,3,3,2,1,1,1,1,1,2.13,3.19,3.75
EVE,2-1,LEI,3,2,1,1,1,1,0,0,2.16,3.10,3.80
NWC,2-4,CHE,0,2,4,1,1,1,1,1,4.88,3.34,1.83
SWA,0-0,WHU,1,0,0,0,0,0,0,0,1.77,3.44,5.16
BRI,2-1,CRY,3,2,1,1,1,1,0,0,2.29,3.02,3.53
BUR,4-1,HUD,3,4,1,1,1,1,1,1,3.85,3.17,2.11
BOU,3-3,TOT,1,3,3,1,1,1,1,1,1.46,4.38,7.18
STC,2-2,SOU,1,2,2,1,1,1,1,0,2.31,2.98,3.56
HUD,3-0,NWC,3,3,0,0,1,1,0,0,2.24,3.07,3.59
CRY,1-2,BUR,0,1,2,1,1,1,0,0,1.66,3.63,5.82
WHU,1-1,EVE,1,1,1,1,1,0,0,0,3.00,3.17,2.49
TOT,1-2,SWA,0,1,2,1,1,1,0,0,1.46,4.38,7.18
CHE,4-2,WAT,3,4,2,1,1,1,1,1,1.85,3.47,4.51
ARS,0-1,BRI,0,0,1,0,0,0,0,0,1.57,3.96,6.26
WBA,0-1,MNC,0,0,1,0,0,0,0,0,1.23,6.22,13.1
MNU,1-1,BOU,1,1,1,1,1,0,0,0,1.37,4.87,8.61
LEI,3-3,STC,1,3,3,1,1,1,1,1,2.31,2.98,3.56
SOU,2-2,LIV,1,2,2,1,1,1,1,0,2.06,3.22,3.95
BRI,0-0,WBA,1,0,0,0,0,0,0,0,2.44,3.24,3.02
BUR,0-1,ARS,0,0,1,0,0,0,0,0,2.58,3.19,2.86
WAT,1-3,HUD,0,1,3,1,1,1,1,0,1.56,4.05,6.24
EVE,0-0,SWA,1,0,0,0,0,0,0,0,1.47,4.37,7.20
MNU,1-1,TOT,1,1,1,1,1,0,0,0,2.25,3.05,3.60
BOU,1-1,CHE,1,1,1,1,1,0,0,0,4.88,3.34,1.83
NWC,0-0,CRY,1,0,0,0,0,0,0,0,1.96,3.29,4.52
STC,2-1,WHU,3,2,1,1,1,1,0,0,1.95,3.32,4.25
MNC,0-0,SOU,1,0,0,0,0,0,0,0,3.71,3.08,2.20
LIV,0-1,LEI,0,0,1,0,0,0,0,0,2.06,3.22,3.95
WHU,0-0,LIV,1,0,0,0,0,0,0,0,3.20,3.19,2.36
TOT,2-1,EVE,3,2,1,1,1,1,0,0,2.48,3.20,2.99
WBA,1-2,BUR,0,1,2,1,1,1,0,0,1.47,4.37,7.20
HUD,1-1,BOU,1,1,1,1,1,0,0,0,2.24,3.07,3.59
ARS,4-1,NWC,3,4,1,1,1,1,1,1,4.88,3.34,1.83
LEI,0-3,MNC,0,0,3,0,1,1,0,0,3.71,3.08,2.20
SOU,5-0,BRI,3,5,0,0,1,1,1,1,2.88,3.15,2.60
SWA,4-1,STC,3,4,1,1,1,1,1,1,3.55,2.99,2.31
CHE,2-3,MNU,0,2,3,1,1,1,1,1,2.43,3.24,3.02
CRY,0-1,WAT,0,0,1,0,0,0,0,0,1.77,3.43,5.16
MNU,4-0,HUD,3,4,0,0,1,1,1,0,4.88,3.34,1.83
STC,1-1,EVE,1,1,1,1,1,0,0,0,2.16,3.10,3.80
MNC,3-0,WHU,3,3,0,0,1,1,0,0,1.44,4.42,7.71
BUR,2-3,SOU,0,2,3,1,1,1,1,1,2.44,3.24,3.02
NWC,1-0,WBA,3,1,0,0,0,0,0,0,2.24,3.07,3.59
BRI,0-0,LEI,1,0,0,0,0,0,0,0,2.88,3.15,2.60
BOU,1-2,CRY,0,1,2,1,1,1,0,0,1.96,3.29,4.25
WAT,3-0,ARS,3,3,0,0,1,1,0,0,3.09,3.23,2.40
LIV,3-1,SWA,3,3,1,1,1,1,1,0,1.46,4.38,7.18
CHE,3-2,TOT,3,3,2,1,1,1,1,1,2.59,3.17,2.87
ARS,3-0,BOU,3,3,0,0,1,1,0,0,4.88,3.34,1.83
WBA,0-0,WAT,1,0,0,0,0,0,0,0,3.55,2.99,2.31
WHU,5-0,BRI,3,5,0,0,1,1,1,1,1.97,3.26,4.27
TOT,3-1,STC,3,3,1,1,1,1,1,0,2.06,3.22,3.95
HUD,0-1,CHE,0,0,1,0,0,0,0,0,4.88,3.34,1.83
SWA,1-2,MNC,0,1,2,1,1,1,0,0,5.84,3.74,1.63
LEI,2-3,BUR,0,2,3,1,1,1,1,1,2.44,3.24,3.02
SOU,1-0,NWC,3,1,0,0,0,0,0,0,1.56,4.05,6
CRY,2-1,MNU,3,2,1,1,1,1,0,0,3.93,3.24,2.05
EVE,1-3,LIV,0,1,3,1,1,1,1,0,2.24,3.08,3.58
WHU,0-0,SOU,1,0,0,0,0,0,0,0,2.44,3.21,3.04
MNC,1-0,WBA,3,1,0,0,0,0,0,0,1.23,6.22,13.1
MNU,0-1,CRY,0,0,1,0,0,0,0,0,3.93,3.24,2.05
STC,1-2,BUR,0,1,2,1,1,1,0,0,2.44,3.24,3.02
HUD,2-2,TOT,1,2,2,1,1,1,1,0,4.39,3.33,1.92
CHE,2-0,BOU,3,2,0,0,1,0,0,0,4.88,3.34,1.83
LEI,4-0,NWC,3,4,0,0,1,1,1,0,1.56,4.05,6.24
WAT,1-0,SWA,3,1,0,0,0,0,0,0,3.55,2.99,2.31
LIV,1-1,ARS,1,1,1,1,1,0,0,0,2.25,3.05,3.60
BRI,0-0,EVE,1,0,0,0,0,0,0,0,1.66,3.63,5.82
EVE,1-5,LIV,0,1,5,1,1,1,1,1,2.24,3.08,3.58
SOU,3-0,HUD,3,3,0,0,1,1,0,0,1.56,4.05,6.24
NWC,2-1,MNC,3,2,1,1,1,1,0,0,5.84,3.74,1.63
WAT,1-0,CHE,3,1,0,0,0,0,0,0,1.85,3.47,4.51
SWA,1-0,TOT,3,1,0,0,0,0,0,0,1.46,4.38,7.18
ARS,2-1,WHU,3,2,1,1,1,1,0,0,1.78,3.33,5.32
CRY,1-0,BRI,3,1,0,0,0,0,0,0,2.29,3.02,3.53
BUR,2-1,LEI,3,2,1,1,1,1,0,0,2.44,3.24,3.02
WBA,0-0,MNU,1,0,0,0,0,0,0,0,4.88,3.34,1.83
BOU,0-1,STC,0,0,1,0,0,0,0,0,1.56,4.05,6.24
TOT,0-2,SOU,0,0,2,0,1,0,0,0,2.06,3.22,3.95
CHE,2-0,SWA,3,2,0,0,1,0,0,0,4.88,3.34,1.83
MNC,0-0,BUR,1,0,0,0,0,0,0,0,3.02,3.24,2.44
WHU,0-0,EVE,1,0,0,0,0,0,0,0,3.00,3.17,2.49
HUD,0-2,ARS,0,0,2,0,1,0,0,0,1.37,4.87,8.61
LEI,3-3,BOU,1,3,3,1,1,1,1,1,1.56,4.05,6.24
STC,2-0,WAT,3,2,0,0,1,0,0,0,2.31,2.98,3.56
BRI,3-1,WBA,3,3,1,1,1,1,1,0,2.44,3.24,3.02
MNU,0-1,NWC,0,0,1,0,0,0,0,0,1.37,4.87,8.61
LIV,2-2,CRY,1,2,2,1,1,1,1,0,1.66,3.64,5.82
WAT,0-0,LEI,1,0,0,0,0,0,0,0,2.31,2.98,3.56
EVE,3-0,HUD,3,3,0,0,1,1,0,0,1.47,4.37,7.20
SWA,0-1,SOU,0,0,1,0,0,0,0,0,1.56,4.05,6.24
ARS,3-0,TOT,3,3,0,0,1,1,0,0,2.25,3.05,3.60
BOU,1-3,MNC,0,1,3,1,1,1,1,0,5.84,3.74,1.63
CHE,1-1,STC,1,1,1,1,1,0,0,0,3.09,3.23,2.40
NWC,1-1,BRI,1,1,1,1,1,0,0,0,1.96,3.29,4.25
CRY,1-0,WHU,3,1,0,0,0,0,0,0,1.97,3.26,4.27
WBA,1-2,LIV,0,1,2,1,1,1,0,0,4.39,3.33,1.92
BUR,1-1,MNU,1,1,1,1,1,0,0,0,2.58,3.19,2.86
LEI,0-0,CHE,1,0,0,0,0,0,0,0,3.09,3.23,2.40
MNC,2-0,WAT,3,2,0,0,1,0,0,0,1.57,3.92,6.28
MNU,2-2,BOU,1,2,2,1,1,1,1,0,1.37,4.87,8.61
HUD,1-2,CRY,0,1,2,1,1,1,0,0,2.44,3.24,3.02
LIV,1-1,NWC,1,1,1,1,1,0,0,0,4.39,3.33,1.92
WHU,4-2,WBA,3,4,2,1,1,1,1,1,3.02,3.19,2.46
SOU,2-2,ARS,1,2,2,1,1,1,1,0,1.85,3.47,4.51
BRI,0-1,BUR,0,0,1,0,0,0,0,0,3.04,3.21,2.44
STC,2-1,SWA,3,2,1,1,1,1,0,0,3.55,2.99,2.31
TOT,1-4,EVE,0,1,4,1,1,1,1,1,2.48,3.20,2.99
BOU,4-1,BRI,3,4,1,1,1,1,1,1,1.96,3.29,4.25
WBA,2-2,HUD,1,2,2,1,1,1,1,0,2.24,3.07,3.59
SWA,3-1,ARS,3,3,1,1,1,1,1,0,4.88,3.34,1.83
NWC,0-1,WHU,0,0,1,0,0,0,0,0,3.02,3.19,2.46
CRY,2-2,TOT,1,2,2,1,1,1,1,0,3.54,3.00,2.30
STC,3-1,LEI,3,3,1,1,1,1,1,0,2.31,2.98,3.56
WAT,4-0,MNU,3,4,0,0,1,1,1,0,3.09,3.23,2.40
BUR,0-1,LIV,0,0,1,0,0,0,0,0,2.48,3.20,2.99
EVE,1-0,SOU,3,1,0,0,0,0,0,0,2.16,3.10,3.80
CHE,1-0,MNC,3,1,0,0,0,0,0,0,2.58,3.20,2.86
LIV,3-0,BOU,3,3,0,0,1,1,0,0,4.39,3.33,1.92
MNU,1-2,CHE,0,1,2,1,1,1,0,0,2.43,3.24,3.02
WHU,1-4,BUR,0,1,4,1,1,1,1,1,1.86,3.42,4.52
LEI,1-1,SWA,1,1,1,1,1,0,0,0,1.56,4.05,6.24
ARS,3-1,EVE,3,3,1,1,1,1,1,0,2.06,3.22,3.95
BRI,2-3,WAT,0,2,3,1,1,1,1,1,1.77,3.43,5.16
MNC,2-1,STC,3,2,1,1,1,1,0,0,3.71,3.08,2.20
SOU,3-2,CRY,3,3,2,1,1,1,1,1,2.88,3.15,2.60
TOT,2-0,WBA,3,2,0,0,1,0,0,0,4.39,3.33,1.92
HUD,0-1,NWC,0,0,1,0,0,0,0,0,2.24,3.07,3.59
CHE,0-2,BRI,0,0,2,0,1,0,0,0,3.93,3.24,2.05
NWC,2-1,TOT,3,2,1,1,1,1,0,0,1.46,4.38,7.18
BUR,1-1,HUD,1,1,1,1,1,0,0,0,3.85,3.17,2.11
LEI,2-2,MNC,1,2,2,1,1,1,1,0,3.71,3.08,2.20
SWA,2-2,EVE,1,2,2,1,1,1,1,0,1.47,4.37,7.20
BOU,2-1,WHU,3,2,1,1,1,1,0,0,3.02,3.19,2.46
WBA,2-1,SOU,3,2,1,1,1,1,0,0,1.56,4.05,6.24
STC,2-1,MNU,3,2,1,1,1,1,0,0,1.85,3.47,4.51
WAT,2-2,LIV,1,2,2,1,1,1,1,0,2.89,3.24,2.53
CRY,1-3,ARS,0,1,3,1,1,1,1,0,1.57,3.96,6.26
BRI,2-3,STC,0,2,3,1,1,1,1,1,2.88,3.15,2.60
WHU,2-1,WAT,3,2,1,1,1,1,0,0,1.95,3.32,4.25
TOT,3-0,BUR,3,3,0,0,1,1,0,0,2.24,3.08,3.58
HUD,0-1,BOU,0,0,1,0,0,0,0,0,2.24,3.07,3.59
MNU,3-1,LEI,3,3,1,1,1,1,1,0,1.85,3.47,4.51
ARS,1-0,WBA,3,1,0,0,0,0,0,0,4.88,3.34,1.83
MNC,2-0,SWA,3,2,0,0,1,0,0,0,5.84,3.74,1.63
SOU,2-0,NWC,3,2,0,0,1,0,0,0,1.56,4.05,6
LIV,3-3,CHE,1,3,3,1,1,1,1,1,2.25,3.05,3.60
EVE,1-2,CRY,0,1,2,1,1,1,0,0,1.66,3.63,5.82
SWA,3-2,CRY,3,3,2,1,1,1,1,1,1.96,3.29,4.25
STC,2-2,LIV,1,2,2,1,1,1,1,0,2.06,3.22,3.95
WBA,3-2,EVE,3,3,2,1,1,1,1,1,3.85,3.17,2.11
LEI,3-1,BRI,3,3,1,1,1,1,1,0,2.88,3.15,2.60
CHE,2-2,WHU,1,2,2,1,1,1,1,0,1.78,3.33,5.32
MNC,1-1,MNU,1,1,1,1,1,0,0,0,2.13,3.19,3.75
BUR,1-0,SOU,3,1,0,0,0,0,0,0,2.44,3.24,3.02
BOU,0-3,TOT,0,0,3,0,1,1,0,0,1.46,4.38,7.18
WAT,0-1,HUD,0,0,1,0,0,0,0,0,1.56,4.05,6.24
NWC,1-0,ARS,3,1,0,0,0,0,0,0,4.88,3.34,1.83
SOU,4-2,BOU,3,4,2,1,1,1,1,1,1.56,4.05,6.24
LIV,1-0,LEI,3,1,0,0,0,0,0,0,2.06,3.22,3.95
MNU,1-1,SWA,1,1,1,1,1,0,0,0,1.37,4.87,8.61
CRY,0-1,WBA,0,0,1,0,0,0,0,0,2.44,3.24,3.02
ARS,0-0,BUR,1,0,0,0,0,0,0,0,2.58,3.19,2.86
TOT,0-1,WAT,0,0,1,0,0,0,0,0,2.89,3.34,1.83
EVE,1-2,NWC,0,1,2,1,1,1,0,0,1.47,4.37,7.20
HUD,0-5,CHE,0,0,5,0,1,1,1,1,4.88,3.34,1.83
WHU,2-1,STC,3,2,1,1,1,1,0,0,1.95,3.32,4.25
BRI,0-0,MNC,1,0,0,0,0,0,0,0,4.53,3.42,1.86
WAT,3-1,SOU,3,3,1,1,1,1,1,0,2.31,2.98,3.56
NWC,3-1,CRY,3,3,1,1,1,1,1,0,1.96,3.29,4.52
MNC,2-1,LIV,3,2,1,1,1,1,0,0,1.85,3.47,4.51
STC,1-0,HUD,3,1,0,0,0,0,0,0,1.56,4.05,6.24
MNU,0-0,BRI,1,0,0,0,0,0,0,0,1.57,3.96,6.26
SWA,0-1,WBA,0,0,1,0,0,0,0,0,2.24,3.07,3.59
BOU,1-2,ARS,0,1,2,1,1,1,0,0,4.88,3.34,1.83
CHE,0-1,TOT,0,0,1,0,0,0,0,0,2.59,3.17,2.87
LEI,0-0,WHU,1,0,0,0,0,0,0,0,2.44,3.21,3.04
BUR,4-0,EVE,3,4,0,0,1,1,1,0,2.39,3.20,3.14
WBA,2-1,NWC,3,2,1,1,1,1,0,0,2.24,3.07,3.59
SOU,0-1,CHE,0,0,1,0,0,0,0,0,3.09,3.23,2.40
EVE,0-1,BOU,0,0,1,0,0,0,0,0,3.85,3.17,2.11
WHU,1-3,MNC,0,1,3,1,1,1,1,0,1.44,4.42,7.71
LIV,1-0,MNU,3,1,0,0,0,0,0,0,2.59,3.17,2.87
CRY,3-1,BUR,3,3,1,1,1,1,1,0,1.66,3.63,5.82
BRI,2-0,SWA,3,2,0,0,1,0,0,0,1.96,3.29,4.25
ARS,4-1,WAT,3,4,1,1,1,1,1,1,3.09,3.23,2.40
TOT,3-1,STC,3,3,1,1,1,1,1,0,2.06,3.22,3.95
HUD,0-1,LEI,0,0,1,0,0,0,0,0,1.56,4.05,6.24
STC,3-1,SOU,3,3,1,1,1,1,1,0,2.31,2.98,3.56
BOU,0-1,CRY,0,0,1,0,0,0,0,0,1.96,3.29,4.25
LEI,2-0,TOT,3,2,0,0,1,0,0,0,2.06,3.22,3.95
MNC,2-0,HUD,3,2,0,0,1,0,0,0,5.84,3.74,1.63
MNU,3-1,WHU,3,3,1,1,1,1,1,0,3.71,3.08,2.19
CHE,1-1,ARS,1,1,1,1,1,0,0,0,2.43,3.24,3.02
WAT,0-1,EVE,0,0,1,0,0,0,0,0,2.44,3.24,3.02
SWA,4-0,NWC,3,4,0,0,1,1,1,0,2.24,3.07,3.59
BUR,2-0,WBA,3,2,0,0,1,0,0,0,1.47,4.37,7.20
BRI,2-1,LIV,3,2,1,1,1,1,0,0,1.66,3.64,5.82
CRY,3-1,WAT,3,3,1,1,1,1,1,0,1.77,3.43,5.16
LIV,1-2,SWA,0,1,2,1,1,1,0,0,1.46,4.38,7.18
WHU,1-1,BRI,1,1,1,1,1,0,0,0,1.97,3.26,4.27
ARS,6-0,STC,3,6,0,0,1,1,1,1,3.09,3.23,2.40
NWC,1-1,BUR,1,1,1,1,1,0,0,0,3.85,3.17,2.11
HUD,3-1,MNU,3,3,1,1,1,1,1,0,4.88,3.34,1.83
SOU,1-0,LEI,3,1,0,0,0,0,0,0,2.31,2.98,3.56
WBA,2-2,BOU,1,2,2,1,1,1,1,0,2.24,3.07,3.59
EVE,1-1,CHE,1,1,1,1,1,0,0,0,2.06,3.22,3.95
TOT,3-0,MNC,3,3,0,0,1,1,0,0,1.85,3.47,4.51
BOU,1-2,NWC,0,1,2,1,1,1,0,0,2.24,3.07,3.59
LIV,4-1,WHU,3,4,1,1,1,1,1,1,3.20,3.19,2.36
MNU,2-1,TOT,3,2,1,1,1,1,0,0,2.25,3.05,3.60
STC,0-0,EVE,1,0,0,0,0,0,0,0,2.16,3.10,3.80
CHE,0-1,CRY,0,0,1,0,0,0,0,0,1.57,3.96,6.26
BRI,3-2,HUD,3,3,2,1,1,1,1,1,2.44,3.24,3.02
MNC,3-0,SOU,3,3,0,0,1,1,0,0,3.71,3.08,2.20
SWA,0-0,BUR,1,0,0,0,0,0,0,0,3.85,3.17,2.11
LEI,2-2,ARS,1,2,2,1,1,1,1,0,1.85,3.47,4.51
WAT,0-1,WBA,0,0,1,0,0,0,0,0,3.55,2.99,2.31
CRY,2-2,STC,1,2,2,1,1,1,1,0,2.88,3.15,2.60
WHU,2-0,SWA,3,2,0,0,1,0,0,0,1.77,3.44,5.16
NWC,2-1,WAT,3,2,1,1,1,1,0,0,3.55,2.99,2.31
TOT,1-0,BRI,3,1,0,0,0,0,0,0,1.66,3.64,5.82
BUR,3-0,BOU,3,3,0,0,1,1,0,0,3.85,3.17,2.11
WBA,3-1,CHE,3,3,1,1,1,1,1,0,1.37,4.87,8.61
ARS,2-2,MNC,1,2,2,1,1,1,1,0,2.13,3.19,3.75
EVE,1-0,LEI,3,1,0,0,0,0,0,0,2.16,3.10,3.80
SOU,2-0,MNU,3,2,0,0,1,0,0,0,1.85,3.47,4.51
HUD,0-4,LIV,0,0,4,0,1,1,1,0,1.46,4.38,7.18
STC,1-0,WBA,3,1,0,0,0,0,0,0,1.56,4.05,6.24
MNU,0-0,ARS,1,0,0,0,0,0,0,0,2.43,3.24,3.02
WHU,2-1,HUD,3,2,1,1,1,1,0,0,1.77,3.44,5.16
LEI,3-1,CRY,3,3,1,1,1,1,1,0,2.88,3.15,2.60
LIV,1-0,TOT,3,1,0,0,0,0,0,0,2.43,3.24,3.02
WAT,1-2,BUR,0,1,2,1,1,1,0,0,2.16,3.10,3.80
SWA,0-2,BOU,0,0,2,0,1,0,0,0,2.24,3.07,3.59
CHE,0-2,NWC,0,0,2,0,1,0,0,0,4.88,3.34,1.83
MNC,3-0,EVE,3,3,0,0,1,1,0,0,1.70,3.60,5.38
BRI,1-2,SOU,0,1,2,1,1,1,0,0,2.88,3.15,2.60
HUD,1-0,SWA,3,1,0,0,0,0,0,0,2.24,3.07,3.59
ARS,1-2,BRI,0,1,2,1,1,1,0,0,1.57,3.96,6.26
CRY,1-2,MNC,0,1,2,1,1,1,0,0,1.33,5.20,9.52
WBA,1-0,LEI,3,1,0,0,0,0,0,0,1.56,4.05,6.24
NWC,1-1,STC,1,1,1,1,1,0,0,0,1.56,4.05,6.24
TOT,0-3,WHU,0,0,3,0,1,1,0,0,3.20,3.19,2.36
EVE,1-3,MNU,0,1,3,1,1,1,1,0,2.58,3.19,2.86
SOU,0-2,LIV,0,0,2,0,1,0,0,0,2.06,3.22,3.95
BOU,1-2,WAT,0,1,2,1,1,1,0,0,3.55,2.99,2.31
BUR,3-1,CHE,3,3,1,1,1,1,1,0,2.06,3.22,3.95
WBA,1-2,MNC,0,1,2,1,1,1,0,0,1.23,6.22,13.1
BUR,3-1,STC,3,3,1,1,1,1,1,0,2.44,3.24,3.02
BOU,1-1,CHE,1,1,1,1,1,0,0,0,4.88,3.34,1.83
SWA,3-1,WAT,3,3,1,1,1,1,1,0,3.55,2.99,2.31
CRY,4-2,MNU,3,4,2,1,1,1,1,1,3.93,3.24,2.05
TOT,2-0,HUD,3,2,0,0,1,0,0,0,4.39,3.33,1.92
NWC,3-3,LEI,1,3,3,1,1,1,1,1,1.56,4.05,6.24
EVE,1-0,BRI,3,1,0,0,0,0,0,0,1.66,3.63,5.82
ARS,0-2,LIV,0,0,2,0,1,0,0,0,2.25,3.05,3.60
SOU,1-3,WHU,0,1,3,1,1,1,1,0,2.44,3.21,3.04
LIV,2-0,EVE,3,2,0,0,1,0,0,0,2.24,3.08,3.58
TOT,1-1,SWA,1,1,1,1,1,0,0,0,1.46,4.38,7.18
STC,1-1,BOU,1,1,1,1,1,0,0,0,1.56,4.05,6.24
CHE,0-0,WAT,1,0,0,0,0,0,0,0,1.85,3.47,4.51
MNC,4-1,NWC,3,4,1,1,1,1,1,1,5.84,3.74,1.63
LEI,3-0,BUR,3,3,0,0,1,1,0,0,2.44,3.24,3.02
HUD,3-1,SOU,3,3,1,1,1,1,1,0,1.56,4.05,6.24
MNU,1-1,WBA,1,1,1,1,1,0,0,0,4.88,3.34,1.83
WHU,1-3,ARS,0,1,3,1,1,1,1,0,1.78,3.33,5.32
BRI,1-2,CRY,0,1,2,1,1,1,0,0,2.29,3.02,3.53
EVE,4-0,WHU,3,4,0,0,1,1,1,0,3.00,3.17,2.49
ARS,0-0,HUD,1,0,0,0,0,0,0,0,1.37,4.87,8.61
SOU,2-0,TOT,3,2,0,0,1,0,0,0,2.06,3.22,3.95
BOU,0-0,LEI,1,0,0,0,0,0,0,0,1.56,4.05,6.24
CRY,1-3,LIV,0,1,3,1,1,1,1,0,1.66,3.64,5.82
